url;Jumlah Data
http://lpse.seruyankab.go.id/eproc4;1,934
https://lpse.siakkab.go.id/eproc4;3,942
http://lpse.sitarokab.go.id/eproc4;759
http://lpse.sidrapkab.go.id/eproc4;1,661
https://lpse.sidoarjokab.go.id/eproc4;5,591
http://lpse.sigikab.go.id/eproc4;1,655
http://lpse.sijunjung.go.id/eproc4;1,434
http://lpse.sikkakab.go.id/eproc4;1,785
http://lpse.simalungunkab.go.id/eproc4;1,375
http://lpse.simeuluekab.go.id/eproc4;1,546
http://lpse.sinjaikab.go.id/eproc4;1,332
https://lpse.sintang.go.id/eproc4;1,58
http://lpse.situbondokab.go.id/eproc4;3,212
https://lpse.slemankab.go.id/eproc4;3,905
http://lpse.solokkab.go.id/eproc4;1,327
http://lpse.solselkab.go.id/eproc4;528
http://lpse.soppeng.go.id/eproc4;1,094
http://lpse.sorongkab.go.id/eproc4;261
http://lpse.sorongselatankab.go.id/eproc4;215
http://lpse.sragenkab.go.id/eproc4;2,416
https://lpse.subang.go.id/eproc4;2,701
http://lpse.sukabumikab.go.id/eproc4;3,807
https://lpse.sukamarakab.go.id/eproc4;2,317
https://lpse.sukoharjokab.go.id/eproc4;1,956
http://lpse.kepulauansulakab.go.id/eproc4;1,214
http://lpse.sumbabaratkab.go.id/eproc4;1,445
http://lpse.sbdkab.go.id/eproc4;1,536
http://lpse.sumbatengahkab.net/eproc4;
http://lpse.sumbatimurkab.go.id/eproc4;2,134
http://lpse.sumbawakab.go.id/eproc4;1,531
http://lpse.sumbawabaratkab.go.id/eproc4;1,408
http://lpse.sumedangkab.go.id/eproc4;2,575
http://lpse.sumenepkab.go.id/eproc4;2,125
https://lpse.supiorikab.go.id/eproc4;110
http://lpse.tabalongkab.go.id/eproc4;2,776
https://lpse.tabanankab.go.id/eproc4;1,281
http://lpse.takalarkab.go.id/eproc4;900
http://lpse.talaudkab.go.id/eproc4;809
http://36.91.152.66/eproc4;132
http://lpse.tanatidungkab.go.id/eproc4;1,529
http://36.95.246.107/eproc4;1,014
http://lpse.tanahbumbukab.go.id/eproc4;2,322
http://lpse.tanahdatar.go.id/eproc4;2,357
https://lpse.tanahlautkab.go.id/eproc4;3,373
https://lpse.tangerangkab.go.id/eproc4;8,241
http://lpse.tanggamus.go.id/eproc4;2,475
http://lpse.tanjabbarkab.go.id/eproc4;3,273
http://lpse.tanjabtimkab.go.id/eproc4;3,277
https://lpse.tapselkab.go.id/eproc4;2,483
http://lpse.tapteng.go.id/eproc4;1,271
http://lpse.taputkab.go.id/eproc4;1,626
http://lpse.tapinkab.go.id/eproc4;2,749
http://lpse.tasikmalayakab.go.id/eproc4;6,003
http://lpse.tebokab.go.id/eproc4;1,455
