id_lpse;nama_lpse;url;versi;id_repo;lengkap;status;id_wilayah;kategori
480;LPSE Universitas Malikussaleh;http://lpse.unimal.ac.id/eproc4;;480;1;0;;5
690;LPSE Universitas Mataram;http://lpse.unram.ac.id/eproc4;4.3u20191009;690;1;0;;5
169;LPSE Universitas Mulawarman;http://lpse.unmul.ac.id/eproc4;4.5u20220216;169;1;1;;5
429;LPSE Universitas Negeri Gorontalo;http://lpse.ung.ac.id/eproc4;;429;1;0;;5
30;LPSE Universitas Negeri Makassar;http://lpse.unm.ac.id/eproc4;4.5u20220113;30;1;1;;5
363;LPSE Universitas Negeri Malang;http://lpse.um.ac.id/eproc4;4.3u20191009;363;1;0;;5
387;LPSE Universitas Negeri Manado;http://lpse.unima.ac.id/eproc4;;387;1;1;;5
38;LPSE Universitas Negeri Medan;http://lpse.unimed.ac.id/eproc4;4.3u20191009;38;1;0;;5
293;LPSE Universitas Negeri Padang;http://lpse.unp.ac.id/eproc4;4.5u20220216;293;1;0;;5
637;LPSE Universitas Negeri Sebelas Maret;http://lpse.uns.ac.id/eproc4;4.4u20211004;637;1;1;;5
216;LPSE Universitas Negeri Semarang;http://lpse.unnes.ac.id/eproc4;;216;1;0;;5
162;LPSE Universitas Negeri Surabaya;http://lpse.unesa.ac.id/eproc4;;162;1;0;;5
512;LPSE Universitas Palangka Raya;http://lpse.upr.ac.id/eproc4;;512;1;1;;5
499;LPSE Universitas Riau;https://lpse.unri.ac.id/eproc4;;499;1;1;;5
584;LPSE Universitas Sam Ratulangi;http://36.91.152.66/eproc4;4.4u20220525;584;1;1;;5
221;LPSE Universitas Sriwijaya;https://lpse.unsri.ac.id/eproc4;;221;1;1;;5
272;LPSE Universitas Sumatera Utara;https://lpse.usu.ac.id/eproc4;4.5u20220414;272;1;1;;5
468;LPSE Universitas Syiah Kuala Banda Aceh;https://lpse.unsyiah.ac.id/eproc4;;468;1;1;;5
213;LPSE Universitas Tadulako;http://lpse.untad.ac.id/eproc4;4.4u20220525;213;1;1;;5
224;LPSE Universitas Tanjung Pura;http://lpse.untan.ac.id/eproc4;4.4u20210715;224;1;1;;5
705;LPSE Universitas Teuku Umar;http://lpse.utu.ac.id/eproc4;4.5u20220216;705;1;1;;5
446;LPSE Universitas Udayana;http://lpse.unud.ac.id/eproc4;4.3u20191009;446;1;0;;5
1050;SPSE Nasional;https://spse.lkpp.go.id/eproc4;4.5u20220721;802;1;1;;3
399;LPSE Badan Informasi Geospasial;https://lpse.big.go.id/eproc4;4.5u20220609;399;1;1;3100;2
424;LPSE Badan Intelijen Negara;http://lpse.bin.go.id/eproc4;4.4u20220222;424;1;1;3100;2
746;LPSE Badan Kepegawaian Negara;https://lpse.bkn.go.id/eproc4;4.5u20220708;746;1;1;3100;2
384;LPSE Badan Koordinasi Penanaman Modal;https://lpse.bkpm.go.id/eproc4;4.5u20220525;384;1;1;3100;2
346;LPSE Badan Narkotika Nasional;https://lpse.bnn.go.id/eproc4;4.5u20220407;346;1;1;3100;2
382;LPSE Badan Nasional Penanggulangan Bencana;http://lpse.bnpb.go.id/eproc4;4.5u20220705;382;1;1;3100;2
547;LPSE Badan Nasional Penanggulangan Terorisme;http://lpse.bnpt.go.id/eproc4;4.5u20220525;547;1;1;3100;2
657;LPSE Badan Nasional Pengelola Perbatasan;http://lpse.bnpp.go.id/eproc4;4.3u20191009;657;1;0;3100;2
191;LPSE Badan Pengawas Obat dan Makanan;https://lpse.pom.go.id/eproc4;4.5u20220620;191;1;1;3100;2
69;LPSE Badan Pengkajian dan Penerapan Teknologi;http://lpse.bppt.go.id/eproc4;4.3u20191009;69;1;0;3100;2
538;LPSE Badan Pengusaha Batam;https://lpse.bpbatam.go.id/eproc4;4.5u20220801;538;1;1;3100;2
275;LPSE Badan Pusat Statistik;https://lpse.bps.go.id/eproc4;4.5u20220801;275;1;1;3100;2
87;LPSE Dewan Perwakilan Rakyat Republik Indonesia;https://lpse.dpr.go.id/eproc4;4.5u20220715;87;1;1;3100;3
170;LPSE Kementerian Agama;https://lpse.kemenag.go.id/eproc4;4.5u20220708;170;1;1;3100;1
