,Nama,NPWP
3584,             PT. SUMARTUA TONANGINDO          ,72.258.650.0-009.000
3587,             PT. DEFICY SIGAR PRATAMA          ,01.678.908.3-009.000
3588,             PT. ACEH MEUGAHNA LINGKE          ,01.687.787.0-101.000
3590,             PT. BRINGIN KARYA SEJAHTERA          ,01.322.535.4-073.000
3591,             PULINTA KARYA UTAMA          ,01.322.477.9-008.000
3592,             CV. ELY MAHKOTA MANDIRI          ,31.315.879.2-005.000
3593,             CV. WARADATA PRIMA          ,02.554.016.2-025.000
3594,             PT. KOLAM INTAN PRIMA          ,01.323.581.7-027.000
3595,             PT. REMBIGA INDAH          ,01.359.124.3-027.000
3596,             PT. HUDA TATA SARANA          ,02.160.938.3-017.000
3597,             PT. LEASE JAYA ABADI          ,02.286.763.4-027.000
3598,             PT. KUALA RAJA          ,01.935.588.2-101.000
3599,             PT. UNO TANOH SEURAMO          ,02.109.085.7-023.000
3601,             PT. Sarana Infotek Mandiri          ,03.173.636.6-001.000
3602,             PT. MADYA PERDANA PRIMA          ,03.322.404.9-005.000
3603,             PT. MAM ENERGINDO          ,02.623.333.8-061.000
3607,             CV. Karya Cemerlang          ,02.676.040.5-003.000
3609,             PT. ASIATEK PUTRA PERKASA          ,72.256.075.2-003.000
3610,             CV SARI PERSADA          ,72.158.781.4-304.000
3611,             CAHAYA SIMARATA          ,02.359.769.3-008.000
3612,             CV. ALVICA HOEBAK LESTARI          ,02.126.569.9-008.000
3613,             PT. MENAK PIRMA PERSADA          ,21.016.685.6-407.000
3617,             PT. SOLINDO JAYA ABADI          ,03.048.365.5-026.000
3618,             PT RAIH PRESTASI MANDIRI          ,72.995.726.6-451.000
3620,             PT. Sinar Memossa Pratama          ,81.024.171.1-424.000
3621,             PT.KALIMAYA BEUTONG KRAMATSINDO          ,66.065.966.5-005.000
3630,             PT. KARYA BERSAMA KONSTRUKSINDO          ,75.449.621.4-034.000
3639,             PT. SUNGAI CAKRAWALA NUSANTARA          ,73.114.800.3-023.000
3642,             PT Geomatika Satelit Indonesia          ,81.743.617.3-044.000
3644,             TRIGUNA MEGATAMA          ,01.746.203.7-005.000
3646,             PT Resources Alam Mandiri          ,03.088.969.5-063.000
3647,             PT.NARCON Cabang Bandung          ,01.317.227.5-423.001
3649,             PT.METRO SINAR FARINDO          ,03.017.387.6-085.000
3653,             PT. OMETRACO ARYA SAMANTA          ,01.329.578.7-038.000
3660,             PT. Infotech Komunikatama          ,02.882.147.8-072.000
3664,             Tri Dewa Nusantara          ,70.307.030.0-629.000
3668,             CV. KHAIRA JAYA ABADI          ,03.280.541.8-017.000
3669,             CV. ARENGKA PAPAR ABADI          ,03.276.842.6-009.000
3671,             CV. PRIMA ARTHA BANUA          ,03.164.438.8-731.000
3672,             CV. ICHIDHANAPATI KARYA          ,76.549.109.7-732.000
3675,             solusi selaras bersama          ,74.758.931.5-034.000
3680,             PT. DWI SATRIA PERDANA          ,72.603.243.6-027.000
3686,             PT.MUTIARA SAMUDERA PASAI          ,03.215.227.4-009.000
3694,             CV. DESTANIA          ,81.791.722.2-527.000
3699,             PT. Multi Mega Sakti          ,01.303.348.5-075.000
3704,             CV.MORDEKAI          ,02.382.791.8-001.000
3708,             CV. JAYA SENTOSA          ,03.124.105.2-017.000
3710,             PT. Pradipta Sukses Pratama          ,02.575.702.2-731.000
3711,             PT. AGATHIS SOLUTION          ,02.649.574.7-009.000
3712,             CV HARTONO BUMI JAYA          ,80.338.483.3-524.000
3715,             PT. Omudas Delapan Raya          ,74.790.165.0-011.000
3716,             cv. lima putra          ,73.678.988.4-401.000
3718,             PT Progressio Indonesia          ,02.332.963.4-424.000
3719,             PT.SRAYA DINAMIKA MANDIRI          ,01.909.281.6-003.000
3721,             CV. HARAPAN          ,02.853.623.3-804.000
3722,             PT. ALIFYA MUDA KARYA          ,70.040.684.6-432.000
3723,             C.V.  HASTA  JENTERA  KENCANA          ,74.673.619.8-601.000
3724,             CV ZAMRUD KHATULISTIWA          ,74.900.595.5-506.000
3725,             Cv Angkasa Delapan Tujuh          ,66.229.289.5-411.000
3726,             GARDA GALUNGGUNG SEJAHTERA          ,03.349.912.0-425.000
3727,             CV BATARA KRISNA MANDIRI          ,03.332.041.7-003.000
3728,             CV. Karya CIpta Mandiri          ,03.007.560.0-015.000
3729,             DYAN KHATULISTIWA          ,02.361.534.7-027.000
3730,             PT. Lestari Dini Tunggul          ,01.120.457.5-017.000
3731,             CV.PUTRI MANDIRI          ,31.193.296.6-421.000
3732,             SENTRA SUKSES INDONESIA          ,82.041.650.1-406.000
3733,             Prima Buana Persada          ,02.527.128.9-015.000
3734,             CV. INDAH BERSINAR          ,02.835.691.3-001.000
3735,             CV. DHAFA KARYA SEJAHTERA          ,66.903.797.0-045.000
3736,             LAKSINDO ADYA PUTRA          ,71.502.727.2-028.000
3738,             CV PELANGI BIRU          ,03.122.200.3-732.000
3740,             CV.ARTA PUTRA          ,02.770.029.3-513.000
3741,             CV. HANNA BATIK          ,31.288.439.8-502.000
3742,             CV. Puri Citra Pratama          ,31.176.577.0-421.000
3743,             CV MENTARI BUNGA LAISA          ,02.723.262.8-002.000
3744,             CV. DYNA MANDIRI          ,02.761.344.7-421.000
3747,             CV. BAYU MANDIRI          ,02.568.773.2-424.000
3748,             CV. BUMI KAHURIPAN          ,73.124.755.7-533.000
3751,             CV. KISHAN DIGJAYA          ,75.355.168.5-419.000
3753,             PT.Tarumaharum kharisma          ,01.724.798.2-039.000
3754,             taruna sinar laut          ,02.424.023.6-039.000
3757,             PT. Bakti Nusantara Pusaka          ,02.845.027.8-014.000
3759,             CV. PRINTAMA LASARI TEKINFO          ,31.173.748.0-036.000
3760,             PT.MUTIARA FIBRINDO          ,02.293.900.3-034.000
3763,             PT. Yasa Ayu Abadi          ,02.616.147.1-023.000
3765,             MARADJA ARTHA SONDANG          ,31.159.504.5-407.000
3770,             PT SYNERGI BERMITRA PERKASA          ,73.293.663.8-009.000
3771,             Cipta Taruna          ,01.305.282.4-007.000
3772,             PT. KELI PERMAI UTAMA          ,01.360.175.2-003.000
3773,             PT. Sinar Samudra Marindo          ,70.580.682.6-075.000
3774,             TRISAKA MULTI KARYA          ,81.550.801.5-411.000
3776,             PT. VIONA KENCANA PERMAI          ,03.276.967.1-009.000
3777,             PT. TRINA CIPTA KARYA          ,02.448.451.1-005.000
3778,             Misindo Multidaya          ,01.601.072.0-035.000
3780,             CV. ALKAUTSAR AFLAH MANDIRI          ,01.871.127.5-033.000
3782,             PT.MITRA PILAR          ,03.280.523.6-017.000
3784,             CV.Sadakom Info Utama          ,02.298.721.8-517.000
3788,             PT. CATUR ADIPUTRA PERKASA          ,02.835.282.1-008.000
3794,             cv. shatara abadi          ,02.362.175.8-731.000
3800,             PT. MAJAPAHIT CIPTA MANDIRI          ,71.376.218.5-618.000
3801,             PT. VISI SOLUSI TEKNOLOGI          ,02.107.606.2-018.000
3804,             PT.DAYA CIPTA KREASINDO          ,02.286.610.7-063.000
3807,             PT.Cahaya Dwi Karunia          ,02.427.374.0-017.000
3808,             PT ENINDO MITRATAMA          ,02.567.846.7-428.000
3809,             PT BENK HAR TRUZZ          ,71.779.682.5-008.000
3810,             PT. SIGMA CIPTA CARAKA          ,01.329.073.9-093.000
3811,             CV. Mayema          ,03.215.291.0-009.000
3812,             PT. PROPERINDO JASATAMA          ,01.330.733.5-005.000
3815,             PT. METROCOM GLOBAL SOLUSI          ,01.828.522.1-062.000
3819,             PT. Skyindo Global Nusantara          ,72.464.612.0-043.000
3820,             PT. SOFTBLESS SOLUTIONS          ,02.834.723.5-001.000
3826,             cv.argacita solusindo          ,66.031.565.6-416.000
3827,             PT. BERLIANKREASI ANEKATEKNIK          ,01.749.659.7-043.000
3829,             PT. Andalas Media Informatika          ,02.322.642.6-072.001
3832,             PT INDOSAT TBK          ,01.000.502.3-092.000
3833,             PT. Ceudah Raya Komunika          ,02.867.762.3-005.000
3834,             PT. Indosat Mega Media          ,01.061.147.3-051.000
3836,             PT. Indonesia Super Corridor          ,02.699.198.8-014.000
3840,             PT Media Akses Global Indo          ,02.698.989.7-014.000
3843,             PT. Primacom Interbuana          ,01.569.018.3-062.000
3844,             PT. CYBER NETWORK INDONESIA          ,02.427.219.7-014.000
3846,             PT. KLAKKLIK INOVASI DIGITAL          ,80.016.212.5-071.000
3848,             PT MANDIRI CReASINDO          ,02.192.552.4-071.000
3849,             PT. PABRIK SOLUSI          ,03.199.011.2-013.000
3851,             CV. ADIDAYA PERKASA TEKNOLOGI          ,31.306.900.7-411.000
3861,             CV. SOLUSI ARYA PRIMA          ,01.960.937.9-511.000
3862,             PT. Indonesia Comnets Plus          ,01.061.190.3-051.000
3863,             PT. PERWIRA SENTRA OFFICINDO          ,02.702.776.2-017.000
3866,             PT IMANI PRIMA          ,01.978.533.6-017.000
3867,             CV. TRIGIL          ,70.996.286.4-821.000
3869,             PT. Gridtech Indonesia          ,31.307.477.5-451.000
3870,             pt.time excelindo          ,02.205.740.0-542.000
3872,             PT HARVEST PERDANA KOMPAKINDO          ,02.343.985.4-073.000
3873,             PT. KUANTUM SEKAWAN EMPAT          ,31.445.604.7-016.000
3874,             PT GALAKSI KARYA UTAMA          ,74.652.165.7-401.000
3875,             PT.PRIMA INTEGRASI NETWORK          ,02.040.522.1-022.000
3876,             PT. SUMMITRA SOLUSINDO          ,01.356.903.3-015.000
3878,             TECHNOPHORIA INDONESIA          ,31.327.522.4-542.000
3879,             PT. BURANGRANG STUDIO PRIMA          ,71.472.835.9-444.000
3881,             PT. ARPINDO SEJAHTERA          ,01.653.711.0-043.000
3882,"             DUTA Informatika, CV          ",03.315.633.2-017.000
3884,             CV. Arby Putra          ,21.028.251.3-424.000
3887,             PT. Ship Management System Consultindo          ,03.078.869.9-061.000
3892,             PT. WIENNEXINDO SOLUTION          ,02.604.343.0-018.000
3894,             CV.SUPER TRADE & CO          ,01.229.815.4-201.000
3907,             PT. LANGLANG BUANA SAKTI  Tbk          ,03.203.012.4-101.000
3908,             Fursan Multi Corpora          ,66.709.975.8-063.000
3909,             PT. BAYUBAHARI SANTOSA          ,01.744.037.1-046.000
3910,             PT. PATRIA MARITIM PERKASA          ,02.459.717.1-217.000
3911,             PT. PAL INDONESIA (PERSERO)          ,01.000.073.5-051.000
3912,             PT. DUMAS TANJUNG PERAK SHIPYARD          ,01.202.914.6-605.000
3913,             PT.INDUSTRI KAPAL INDONESIA (PERSERO)          ,01.000.477.8-051.000
3914,             PT. Batamec          ,01.084.681.4-217.000
3916,             PT. KAYAN MARINE SHIPYARD          ,03.090.785.1-725.000
3918,             PT.KHARISMA MISTER MARINE          ,31.268.876.5-411.000
3919,             CV. BERKAH LAUT          ,31.488.759.7-522.000
3920,             PT. TERAFULK MEGANTARA DESIGN          ,02.514.755.4-609.000
3921,             PT. MULTI PRIMA          ,01.617.086.2-217.000
3922,             PT. Peng Berlian Semesta          ,70.451.387.8-215.000
3924,             PT. Steadfast Marine          ,02.435.621.4-026.000
3925,             PT Karimun Anugrah Sejati          ,31.634.967.9-215.000
3931,             PT. JUMINDO INDAH PERKASA          ,31.461.476.9-005.000
3932,             PT. Damai Putra Arindo          ,31.672.940.9-024.000
3933,             CV. Alfarizki Indo Construction          ,74.981.454.7-204.000
3934,             Prakitri Hasta Darma          ,03.007.660.8-015.000
3953,             CV. CISANGGARUNG PUTRA MANDIRI          ,01.814.047.5-045.000
3967,             BAHA ABADI          ,66.855.032.0-003.000
3969,             BUMI KASIH PERTAMA          ,75.258.304.7-435.000
3970,             PT. Kualita Adara Karya          ,70.588.000.3-011.000
3971,             PT. BINTANG UTAMA JAYAKARTA          ,66.751.438.4-027.000
3973,             PT. TRIMEGA INDO ABYUDAYA          ,74.745.067.4-424.000
3975,             CV. HAN JAYA          ,31.586.597.2-518.000
3976,             PT. DWI PERSADA ABADI          ,73.994.332.2-002.000
3977,             PT. PANDOHARAN MITRA TEKNOLOGI          ,66.802.575.2-027.000
4000,             PELANGI INDAH NUSANTARA          ,01.863.195.2-046.000
4001,             CV. STAR INTERNUSA          ,03.280.400.7-101.000
4003,             PT. TIGA REKSA PERDANA INDONESIA          ,21.114.652.7-414.000
4014,             PT. Dokindo Aimas Papua          ,02.112.794.9-951.000
4015,             CV.BUNGA RAYA CIPTA          ,02.675.033.1-913.000
4016,             CV GLOBAL NUSANTARA          ,81.345.288.5-105.000
4017,             PT. RIMPA DOMAFIT JAYA          ,01.586.226.1-001.000
4018,             PT.  BINOCAL PERSADA          ,03.125.643.1-609.000
4019,             PT.SINERGI INDO UTAMA          ,75.096.352.2-615.000
4020,             Cipta Hasta Mandiri          ,03.117.237.2-015.000
4022,             PT. KELINCIMAS PERDANA          ,01.602.617.1-042.000
4023,             PT. Bareshnav Karya Navigasi          ,31.644.256.5-015.000
4024,             CV. JEMBATAN NUSANTARA ENGINEERING          ,03.129.277.4-801.000
4028,             PT KARIMUN MARINE SHIPYARD          ,02.850.763.0-223.000
4029,             PT. Bandar Abadi          ,02.048.440.8-217.000
4030,             PT BEN SANTOSA          ,01.227.453.6-613.000
4032,             PT. EVERSHIP          ,02.835.134.4-001.000
4034,             PT. GITA CIPTA SIAGAYASA          ,01.328.218.1-015.000
4035,             PT UNTUK NEGERI PRODUCTION          ,73.042.548.5-301.000
4036,             PT. PUTRI TANJUNG ABADI          ,72.483.720.8-017.000
4037,             PT. Lotus Veora Sejati          ,70.118.897.1-411.000
4038,             CV. METRO NUSA PRIMA          ,02.056.364.9-005.000
4039,             PT. MUTIARA MURNI MANDIRI          ,02.605.195.3-002.000
4041,             PT. Esti Yasagama          ,01.210.912.0-016.000
4042,             CV.Bersaudara          ,31.569.277.2-418.000
4043,             PT. RAKOMEL          ,01.435.443.5-543.000
4046,             PT. POLINDO NIPAR JAYA          ,31.679.773.7-008.000
4049,             CV. TRI CAHAYA ARTHA          ,02.121.409.3-008.000
4051,             PT DOCOTEL TEKNOLOGI          ,31.474.672.8-013.000
4052,             RANGKAI UTAMA TEKNOLOGI          ,03.124.473.4-017.000
4053,             Argo Cipta Persada          ,80.087.253.3-002.000
4055,             PT. Nuansa Cerah Informasi          ,01.531.869.4-424.000
4056,             PT. Pradipta Intimedia Selaras          ,02.564.234.9-421.000
4057,             CV. TERAB          ,01.981.758.4-527.000
4059,             PT. FASADE KOBETAMA INTERNASIONAL          ,66.961.260.8-424.000
4061,             PT JIREH DATA INTEGRA          ,31.177.558.9-027.000
4063,             PT. GARUDA TECHNOLOGY          ,03.133.595.3-063.000
4065,             PT. NALIQA TOTAL SOLUSI          ,66.965.888.2-063.000
4066,             PT. Karisma Konsultama          ,31.275.271.0-411.000
4067,             PT. Javan Cipta Solusi          ,31.468.687.4-423.000
4069,             CV.SUKSES BOZESA          ,31.455.842.0-005.000
4070,             PT SANGKURIANG INTERNASIONAL          ,31.211.151.1-428.000
4074,             Adhyamitra Tata Sarana          ,74.598.253.8-011.000
4075,             CV. Media Sarana Cipta Buana          ,21.079.807.0-411.000
4077,             CV Putra Purnama Indonesia          ,31.765.253.5-433.000
4078,             CV.AGUNG MULIA          ,02.482.706.5-214.000
4081,             PT.SAPTA ASTHA SAT          ,75.278.014.8-409.000
4086,             PT. TRASPAC MAKMUR SEJAHTERA          ,02.700.182.5-615.000
4087,             PT Graviol Global Expert          ,80.404.234.9-448.000
4089,             PT EMTEO DETAIL ENGINEERING          ,75.982.121.8-411.000
4090,             PT. SHANKARA CIPTA PRIMA          ,75.371.965.7-435.000
4091,             PT.ADHICOMAS LANGGENG          ,01.325.911.4-432.000
4093,             CV. PURNAMA GEMILANG (Green Furnish)          ,31.614.578.8-001.000
4094,             PT. HATI NURANI IBUNDA          ,01.322.418.3-008.000
4095,             CV. JESELINDO JAYA          ,02.593.763.2-027.000
4096,             Multi Sarana          ,01.677.424.2-606.000
4098,             CV WIRATAMA MANDIRI          ,01.877.317.6-037.000
4099,             PT. ADY KARYA RAYA NUSANTARA          ,03.330.116.9-086.000
4100,             CV. Putra Timbanganten          ,73.954.462.5-443.000
4101,             J A Y A R A Y A # C V          ,74.419.426.7-401.000
4102,             PT. BUHA RIAMA          ,01.401.683.6-008.000
4103,             CV. CIPTA SUKSES TEKNOLOGHY          ,31.793.233.3-403.000
4105,             CV. VIAD JAYA MAKMUR          ,31.303.399.5-036.000
4106,             CV. Duta Bisindo Sejahtera          ,01.764.784.3-018.000
4107,             PT MITRA SISTEMATIKA GLOBAL          ,80.101.379.8-028.000
4108,             CV. CIPTA PRAKARSA          ,66.483.921.4-722.000
4113,             CV. SURYA KENCANA LINTAS YASA          ,31.166.163.1-423.000
4119,             cv alzika rakasa          ,76.805.485.0-424.000
4122,             PT RIMBANG PERSADA RAYA          ,81.288.028.4-427.000
4128,             PT. DHARMA MITRA PERKASA          ,02.028.325.5-003.000
4132,             PT DAYA RADAR UTAMA          ,01.360.166.1-046.000
4139,             CV. YOGA PRATAMA JAYA          ,02.592.918.3-027.000
4141,             PT. Susanto Soekardi Boatyard          ,02.424.399.0-072.000
4146,             PT. Canuarta Starmarine          ,03.044.238.8-215.000
4160,             MANSITO KARYA DEBATA          ,73.212.208.0-432.000
4164,             PT. UNIBLESS INDO MULTI          ,31.238.544.6-412.000
4170,             PT.Platinum Network Indonesia          ,02.143.542.5-064.000
4173,             PT. SAMUDERA INDORAYA PERKASA          ,01.941.723.7-614.000
4174,             PT. DOK BAHARI NUSANTARA          ,03.227.662.8-426.000
4175,             PT.LAMPUR AMBOTAN INDONESIA          ,02.597.358.7-411.000
4177,             LINK BOATS          ,03.204.459.6-816.000
4182,             Multi Ocean Shipyard          ,02.706.875.8-223.000
4183,             PT. CITRA SHIPYARD          ,02.537.927.2-217.000
4186,             PT. CENTRO DELAPAN          ,02.491.289.1-017.000
4187,             CV. Cahaya Ilham          ,21.138.733.7-003.000
4188,             CV. Dhiani Rahayu Infotronic          ,02.597.700.0-412.000
4189,             Mandiri Wijoyo Mulyo          ,76.361.951.7-017.000
4190,             FISCO STRATEGIC SYN          ,76.361.985.5-017.000
4191,             PT. PASKINDO DJAYA          ,66.370.331.2-008.000
4193,             PT. PUTRA SIPAREN BERJAYA          ,72.345.506.9-001.000
4195,             SINERGI GEMILANG          ,03.257.443.6-005.000
4196,             GADHIZA RAISALINDO. CV          ,66.228.144.3-005.000
4197,             PT. Multi Anugerah Saptakarya          ,03.113.096.6-615.000
4198,             CV. MISHARALAFASY          ,66.365.123.0-807.000
4200,             PT.KENCANA GLOBALTRANS INDONESIA          ,80.418.376.2-447.000
4201,             PT. TRIO INFO TEKNOLOGY          ,31.312.945.4-071.000
4202,             PT MANUNGGAL JAYA SENTOSA          ,72.178.803.2-524.000
4206,             CV. Mitra Karsa Utama          ,02.319.545.6-005.000
4207,             CV. TUAH MANDIRI          ,03.079.004.2-009.000
4208,             PT. SAPO PULU NAGA          ,02.793.522.0-002.000
4209,             CV. RIZKY ANANDA          ,80.740.102.1-006.000
4210,             CV. Tamaro Putra Utama          ,75.447.799.0-009.000
4213,             CV. VANTAVIN MANDIRI          ,66.203.741.5-501.000
4218,             PT. PAULI PERSADA          ,72.011.177.2-008.000
4220,             CV.PUTRA BANUA          ,74.006.083.5-732.000
4222,             CV. QIRANA LABORATORY          ,03.223.013.8-027.000
4223,             PT. MARANATHA PERMAI          ,01.396.313.7-024.000
4224,             PT. SEGITIGA BERMUDA          ,01.396.312.9-024.000
4225,             CV. Usaha Tehnik Bersama          ,02.630.542.5-432.000
4226,             CV KSP ENTERTAINMENT          ,02.581.726.3-101.000
4227,             PT.Asta Ragam Bina Tehnik          ,02.126.833.9-008.000
4229,             PT.TRISUKSES PERMATA          ,75.555.231.2-043.000
4231,             PT. ANUGERAH SATYA MANDIRI          ,03.189.823.2-009.000
4232,             CV. PRATAMA MANDIRI          ,02.237.055.5-732.000
4234,             CV.JEIHAN KOVA          ,02.886.394.2-216.000
4235,             Mekar Setia Langgeng          ,02.793.526.1-002.000
4236,             PT.LABANA TRISULA PERKASA          ,01.540.577.2-045.000
4237,             CV.GUNA KARYA          ,75.552.011.1-941.000
4240,             CV. ONDIHON MAS GLOBALINDO          ,21.147.722.9-407.000
4242,             PT.Jala Berikat Nusantara Perkasa          ,03.042.487.3-035.000
4243,             PT BARIBA KARYA SEJAHTERA          ,70.101.458.1-643.000
4244,             Sinergi Global Navigasi          ,31.665.991.1-086.000
4245,             Selabih Dana Dyaksa          ,76.551.030.0-086.000
4246,             CV. MEDIA TELEMATIKA JAYA          ,02.739.339.6-416.000
4247,             pt. sketsa karya pribumi          ,03.268.202.3-008.000
4248,             PT. SARANA PRIMADATA          ,02.023.923.2-428.000
4250,             PT DIRGANTARA INDONESIA (PERSERO)          ,01.002.132.7-051.000
4251,             PT ZAVERYNA UTAMA          ,31.285.685.9-432.000
4252,             PT. Carpediem Mandiri          ,01.582.897.3-015.000
4256,             PT. BERURI PILAR PERSADA          ,01.822.810.6-424.000
4257,             PT.KASA CIPTA PERSADA          ,01.593.359.1-007.000
4258,             PT BOGAR ARTA SATRIA          ,01.363.360.7-032.000
4259,             PT. FUNNYKU INTERNASIONAL          ,31.802.417.1-407.000
4262,             PT. Sigma Internusa          ,03.193.925.9-021.000
4263,             PT. Noorel Idea          ,02.203.905.1-077.000
4264,             PT. LANDURU BERLIAN          ,31.456.288.5-034.000
4268,             PT. Indonesia Tujuh Bintang          ,31.611.735.7-412.000
4269,             Gemalindo Kreasi Indonesia          ,73.429.237.8-014.000
4274,             CV. INTIKON ABADI          ,03.113.269.9-615.000
4275,             PT. ACCESS LINTAS SOLUSI          ,02.900.144.3-031.000
4276,             PT. KARSA PERSADA MULIA          ,02.745.088.1-035.000
4278,             PT. Trisar Utama Sejahtera          ,31.669.486.8-615.000
4279,             PT. TRAKINDO UTAMA          ,02.025.873.7-091.000
4280,             PT. Jelajah Samudera Internasional          ,74.101.770.1-516.000
4282,             PT Animo Sarana          ,01.140.888.7-616.000
4283,             PT. Geotindo Mitra Kencana          ,01.828.204.6-013.000
4284,             PT. National Marine Teknik          ,80.140.136.5-215.000
4285,             PT. DOK PANTAI LAMONGAN          ,02.576.984.5-641.000
4286,             PT. Orela Shipyard          ,31.334.802.1-612.000
4288,             CV.EMERTON TRADING          ,03.229.498.5-216.000
4291,             CV. ER SHAHPUTRA          ,03.322.584.8-015.000
4292,             PT. Sarana Global Berdikari          ,74.995.493.9-013.000
4293,             CV. CITRA MANDIRI SEJAHTERA          ,02.403.420.9-501.000
4294,             PT.Anugerah Berkat Risen          ,72.701.640.4-008.000
4298,             PT. CAKRAWALA NUSANTARA DINAMIS          ,02.145.367.5-001.000
4299,             CV CAKRA UTAMA          ,74.898.185.9-034.000
4300,             PT. Resindo Kreasi Innovatif          ,76.056.225.6-008.000
4301,             PT. Cico Tama          ,02.245.476.3-003.000
4302,             CV. Alam Hijau          ,03.082.093.0-604.000
4303,             PT. KATISA          ,03.117.070.7-015.000
4304,             Matahati Insphira          ,03.098.950.3-077.000
4305,             PT.BOLA BALI CONVEX          ,03.080.003.1-077.000
4306,             PT. BUAHBUMI BERSAMA          ,01.719.890.4-061.000
4309,             EXPRESSA PARIWARA MEDIA          ,02.627.967.9-416.000
4310,             PT. INFINITY GLOBAL MANDIRI          ,31.170.339.1-432.000
4329,             cv wangi marta wijaya          ,74.999.417.4-617.000
4357,             PT. Rahedira Reka Cipta          ,03.193.996.0-021.000
4359,             CV. LAGUNA DWI MAKMUR          ,71.264.071.3-022.000
4360,             PT.MITRA PESONA KREASINDO          ,02.676.018.1-003.000
4362,             PT. Gemini Mitra Gemilang          ,01.983.473.8-061.000
4363,             PT. QUATTRO INTI MEDIA          ,02.342.048.2-015.000
4364,             PT PRIMA TRIMITRA KONVENSINDO          ,66.924.030.1-016.000
4365,             PT Enkal Jaya Pratama          ,70.722.326.9-424.000
4366,             PT. Panca Warna Asia          ,74.593.066.9-064.000
4367,             CV. AS JAYA          ,01.410.407.9-813.000
4369,             PT Duta Citra Intigraha          ,02.907.152.9-015.000
4371,             Cikal Bintang Bangsa          ,02.593.213.8-027.000
4372,             PT. Mega Citra Permata          ,31.606.998.8-017.000
4373,             PT. RIZKY JAYA SAMPURNA          ,70.667.259.9-034.000
4374,             PT. DUTA CITRA INTERNUSA          ,02.479.476.0-015.000
4375,             PT. CITRA SOLUSI KONVENSINDO          ,73.118.164.0-071.000
4376,             PT. NUSINDO REKATAMA SEMESTA          ,31.290.873.4-542.000
4378,             CV. Dewi Cahaya Jannata          ,02.761.551.7-421.000
4380,             PT. JATI UNGGUL ABADI          ,02.181.984.2-007.000
4381,             PT. SYARIF MAJU KARYA          ,03.289.357.0-009.000
4382,             PT.RAWATIPA          ,31.271.384.5-421.000
4383,             PT. CHALISTA KARUNIA ABADI          ,31.694.177.2-006.000
4384,             PT. TARSINDO GLOBAL UTAMA          ,03.295.619.5-005.000
4385,             CV. BINTANG SAMUDRA          ,21.121.277.4-614.000
4386,             PT. Rizki Citra Eratama          ,01.770.320.8-013.000
4388,             PT. DOK DAN PERKAPALAN WAIAME AMBON          ,01.127.389.3-941.000
4390,             PT. BALI DIAN PRATAMA          ,01.799.648.9-903.000
4392,             PT. KAHURIPAN HANDAL SOLUSI          ,02.823.043.1-606.000
4394,             cmi teknologi          ,02.244.411.1-424.000
4398,             PT. MULTIMEDIA NETWORK INDONESIA          ,02.143.541.7-014.000
4399,             PT.Karsa Ide Dan Karya          ,02.225.674.7-012.000
4405,             PT. SOLUSI TEKNOLOGI INTEGRASI CEMERLANG          ,31.762.315.5-026.000
4408,             PT. Catudaya Data Prakasa          ,01.524.981.6-441.000
4409,             PT MANDIRA JAYA ABADI          ,01.132.302.9-512.000
4410,             PT. RAKADITU          ,01.333.222.6-023.000
4413,             PT. SPASI INDONESIA          ,02.342.180.3-015.000
4415,             PT. MITRA TEKNOLOGI UTAMA          ,70.236.522.2-009.000
4417,             PARSAORAN GLOBAL DATATRANS          ,03.079.212.1-009.000
4421,             PT. KUARTA POWERINDO PERKASA          ,01.749.644.9-046.000
4423,             CV. GELUNG SAKTI          ,72.180.279.1-439.000
4424,             PT. GEALOGIC SURVEY PROVICES          ,03.114.047.8-018.000
4426,             PT Warga Kusuma Jaya          ,01.120.487.2-402.000
4429,             PT. PRAMA BHIMASENA          ,03.307.348.7-027.000
4435,             PT.BIMASENA LUMBUNG ARTHA          ,03.118.433.6-014.000
4438,             CV. MAKARYA          ,31.469.121.3-614.000
4443,             PT.DELTA SAMUDRA ABADI          ,02.424.325.5-072.000
4445,             PT MAULANA MANDIRI SUKSES          ,31.645.085.7-002.000
4447,             PT. RANCANG BANGUN MANDIRI          ,66.039.277.0-086.000
4449,             PT. JAYA SOLUSI CEMERLANG          ,03.314.529.3-061.000
4450,             PT.RAJAWALI GUNUNG PERKASA          ,02.727.535.3-432.000
4454,             PT Tricada Intronik          ,01.548.256.5-441.000
4457,             KARYA BERSINAR INDONESIA          ,02.654.693.7-061.000
4459,             MELATI TECHNOFO INDONESIA          ,02.655.282.8-008.000
4460,             AZURE INDO MANDIRI          ,71.085.803.6-026.000
4464,             PT ADITECH MATRA          ,01.356.751.6-062.000
4465,             PT.VITORINDO PRIMA SELARAS          ,31.479.104.7-036.000
4472,             PT. DUTA ANUGRAH KENCANA          ,03.042.249.7-035.000
4477,             PT. WAN Solutions          ,02.930.238.7-022.000
4478,             PT AINO INDONESIA          ,02.541.849.2-541.000
4479,             PT. Marino Bona Company          ,01.365.610.3-003.000
4480,             PT. BINA SATRIA AGUNG PERKASA          ,01.604.111.3-005.000
4481,             PT. DUTA UNIVERSAL TECHNOLOGY          ,03.080.008.0-077.000
4484,             PT. CATUR BAKTI PERSADA          ,03.312.881.0-012.000
4485,             PT.YUDHAWIRA KHATULISTIWA          ,01.770.235.8-043.000
