,Nama,NPWP
1026,             PT. BIRO ARSITEK DAN INSINJUR SANGKURIANG          ,01.118.581.6-428.000
1027,             PT. ASTA KENCANA ARSIMETAMA          ,01.531.154.1-615.000
1028,             PT. AQEELA BINA ABADI          ,03.318.586.9-013.000
1029,             PT. MEDIA MULTI TEKNIK KONSULTAN          ,02.282.286.0-952.000
1030,             PT. KONSALTA KUATORIAL          ,02.239.856.4-651.000
1032,             PT. RIAU MULTI CIPTA DIMENSI          ,01.754.124.4-216.000
1033,             PT. ARJASARI PRIMARAYA          ,02.046.376.6-424.000
1035,             PT. TARAM          ,01.118.035.3-322.000
1036,             PT. TEJACIPTA REKASARANA          ,01.531.078.2-606.000
1037,             PT.MULTI SARANA KONSULTAN          ,02.886.085.6-216.000
1038,             PT VHT VENTURE INDONESIA          ,96.397.354.0-072.000
1039,             PT. ABATA RENCANA KARYANUSA          ,03.047.589.1-211.000
1040,             PT. ARYO PRIMA KONSULTAN          ,01.772.529.2-429.000
1041,             CV. RAMDANA TEKNIK KONSULTAN          ,03.010.122.4-952.000
1044,             Basicteknologi Intersolusi Tersinergi          ,90.755.032.1-424.000
1053,             PT. Transtellar Inti Mitra          ,72.334.802.5-061.000
1056,             TRILOGI PERSADA          ,03.271.274.7-022.000
1059,             PT. ANUGERAH GLOBAL SUKSES          ,31.742.287.1-607.000
1061,             CV. Ary Partha          ,70.684.348.9-907.000
1063,             PT BANGKIT SEJAHTERA SOLUSINDO          ,95.916.985.5-429.000
1064,             PT Dwitama Adi Mandiri          ,863842829017000
1065,             pt.suka jembar abadi          ,75.300.655.0-401.000
1069,             PT. KAHFI BAROKAH BERSAMA          ,66.063.478.3-517.000
1070,             PT. TOP SINTESA UTAMA          ,93.917.832.3-404.000
1072,             CV. BINTANG PESONA          ,92.526.559.7-648.000
1073,             CV. Agung Djaya Abadi          ,02.692.537.0-215.000
1074,             konveksi puspita indah          ,95.953.659.0-532.000
1078,             PT Anugerah Total Sejahtera          ,03.047.037.1-039.000
1081,             CV. Sinar Sejahtera Utama          ,01.497.391.1-613.000
1083,             Cv. laut biru          ,91.604.758.2-321.000
1087,             CV. DODO PROPERTY          ,75.502.662.7-309.000
1088,             SARANA SEJATI OPTIMA          ,03.279.622.9-048.000
1097,             PT. ABATA HASTA PERSADA          ,02.262.152.8-009.000
1098,             PT. Dian Tobias          ,03.334.847.5-043.000
1099,             PT HESTON GEMILANG SEJAHTERA          ,75.613.586.9-039.000
1101,             GOLAN JAYA TEKNIK          ,81.612.828.4-023.000
1105,             Cipta Pirmindo Abadi          ,01.363.171.8-075.000
1106,             PT. GAJAH SORA PERKASA          ,94.905.490.2-432.000
1111,             SANDIATAMA PASIFIC          ,84.137.895.3-002.000
1116,             GENERAL BAHTERA NUSANTARA          ,95.879.928.0-076.000
1117,             CV. Halilintar Utama Perkasa          ,81.912.915.6-066.000
1120,             CV. ZIDAN ANGKASA          ,83.855.234.7-005.000
1121,             CV. RAHMAH UNGGUL          ,75.517.873.8-061.000
1124,             PT Tigaer Indonesia Jaya          ,74.737.021.1-434.000
1127,             CV. WAHANA MITRAKARYA NUSANTARA          ,94.513.475.7-013.000
1128,             PT. BERKAT LANGGENG SUKSES          ,81.530.238.5-421.000
1130,             CV GLOBAL GARUDA INDONESIA          ,91.734.025.9-404.000
